"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Abs(sumDiff)"
42670.6575729167,64263,1.4,2,330,1.266667E-03,276
42670.6575891204,64277,7.5,1,330,2.916667E-03,563
42670.6576759259,64352,1.4,2,331,1.266667E-03,268
42670.6576921296,64366,41.1,1,331,1.598333E-02,1457
42670.6581678241,64777,1.5,2,332,1.305556E-03,149
42670.6581851852,64792,4.9,2,333,2.627778E-03,185
42670.6582418981,64841,2.4,2,334,1.655556E-03,419
42670.6582696759,64865,2.1,2,335,1.538889E-03,184
42670.6582939815,64886,58.8,1,335,2.286667E-02,2079
42670.658974537,65474,4.3,2,336,2.394445E-03,387
42670.6590243056,65517,20.2,1,336,7.855556E-03,753
42670.6592581018,65719,2,2,337,.0015,203
42670.65928125,65739,168,1,337,6.533333E-02,1399
42670.6612256944,67419,1.4,2,338,1.266667E-03,203
42670.6612418981,67433,2,2,339,.0015,213
42670.6612650463,67453,3.7,2,340,2.161111E-03,224
42670.6613078704,67490,37.3,1,340,1.450555E-02,626
42670.6617395833,67863,1.8,2,341,1.422222E-03,209
42670.6617604167,67881,3.2,2,342,1.966667E-03,181
42670.6617974537,67913,1.7,2,343,1.383333E-03,215
42670.6618171296,67930,1.3,2,344,1.227778E-03,204
42670.6618321759,67943,1.2,2,345,1.188889E-03,517
42670.6618460648,67955,1.3,2,346,1.227778E-03,288
42670.6618611111,67968,1.3,2,347,1.227778E-03,316
42670.6618761574,67981,1.3,2,348,1.227778E-03,236
42670.6618912037,67994,1.4,2,349,1.266667E-03,244
42670.6619074074,68008,3.8,2,350,.0022,492
42670.6619513889,68046,1.5,2,351,1.305556E-03,283
42670.66196875,68061,1.4,2,352,1.266667E-03,369
42670.6619849537,68075,1.3,2,353,1.227778E-03,342
42670.662,68088,2.8,2,354,1.811111E-03,412
42670.6620324074,68116,3.8,2,355,.0022,858
42670.6620763889,68154,4.7,2,356,.00255,105
42670.662130787,68201,4,2,357,2.277778E-03,104
42670.6621770833,68241,1.3,2,358,1.227778E-03,394
42670.6621921296,68254,1.3,2,359,1.227778E-03,415
42670.6622071759,68267,1.3,2,360,1.227778E-03,354
42670.6622222222,68280,1.2,2,361,1.188889E-03,463
42670.6622361111,68292,1.3,2,362,1.227778E-03,391
42670.6622511574,68305,4.3,2,363,2.394445E-03,861
42670.6623009259,68348,1.8,2,364,1.422222E-03,114
42670.6623217593,68366,1.6,2,365,1.344444E-03,238
42670.6623402778,68382,1.6,2,366,1.344444E-03,285
42670.6623587963,68398,1.2,2,367,1.188889E-03,249
42670.6623726852,68410,1.4,2,368,1.266667E-03,437
42670.6623888889,68424,1.6,2,369,1.344444E-03,405
42670.6624074074,68440,1.3,2,370,1.227778E-03,192
42670.6624224537,68453,1.8,2,371,1.422222E-03,421
42670.662443287,68471,1.5,2,372,1.305556E-03,321
42670.6624606481,68486,4.4,2,373,2.433333E-03,497
42670.6625115741,68530,4.1,1,373,1.594444E-03,475
42670.6625590278,68571,266.6,0,373,9.256945E-02,4725
42670.6656446759,71237,1.6,1,373,6.222222E-04,351
42670.6656631944,71253,5,2,374,2.666667E-03,1582
42670.6657210648,71303,1.5,2,375,1.305556E-03,416
42670.6657384259,71318,1.2,2,376,1.188889E-03,331
42670.6657523148,71330,1.5,2,377,1.305556E-03,204
42670.6657696759,71345,1.3,2,378,1.227778E-03,248
42670.6657847222,71358,1.6,2,379,1.344444E-03,436
42670.6658032407,71374,4.4,2,380,2.433333E-03,376
42670.6658541667,71418,1.4,2,381,1.266667E-03,323
42670.6658703704,71432,1.5,2,382,1.305556E-03,268
42670.6658877315,71447,7.7,1,382,2.994444E-03,944
42670.6659768519,71524,2.4,2,383,1.655556E-03,629
42670.6660046296,71548,1.1,2,384,.00115,482
42670.6660173611,71559,1,2,385,1.111111E-03,477
42670.6660289352,71569,1,2,386,1.111111E-03,383
42670.6660405093,71579,1,2,387,1.111111E-03,559
42670.6660520833,71589,1,2,388,1.111111E-03,502
42670.6660636574,71599,1.2,2,389,1.188889E-03,571
42670.6660775463,71611,.7,2,390,9.944445E-04,406
42670.6660856481,71618,18.9,1,390,.00735,385
42670.6663043981,71807,1.9,2,391,1.461111E-03,315
42670.6663263889,71826,2.9,2,392,.00185,481
42670.6663599537,71855,1.1,2,393,.00115,265
42670.6663726852,71866,78.3,1,393,.03045,137
42670.6672789352,72649,83.3,0,393,2.892361E-02,299
42670.6682430556,73482,6.4,1,393,2.488889E-03,378
42670.6683171296,73546,3.6,2,394,2.122222E-03,655
42670.6683587963,73582,1.2,2,395,1.188889E-03,325
42670.6683726852,73594,1.1,2,396,.00115,308
42670.6683854167,73605,1.2,2,397,1.188889E-03,526
42670.6683993056,73617,1.3,2,398,1.227778E-03,469
42670.6684143519,73630,1.2,2,399,1.188889E-03,325
42670.6684282407,73642,13.9,1,399,5.405555E-03,539
42670.6685891204,73781,1.1,2,400,.00115,393
42670.6686018519,73792,2.6,2,401,1.733333E-03,669
42670.6686319444,73818,1.3,2,402,1.227778E-03,540
42670.6686469907,73831,3.5,2,403,2.083333E-03,631
42670.6686875,73866,1.3,1,403,5.055555E-04,210
42670.6687025463,73879,49.3,0,403,1.711806E-02,317
42670.6692731481,74372,10.3,1,403,4.005556E-03,1046
42670.6693923611,74475,1.2,2,404,1.188889E-03,546
42670.66940625,74487,1.4,2,405,1.266667E-03,309
42670.6694224537,74501,1.2,2,406,1.188889E-03,453
42670.6694363426,74513,1.3,2,407,1.227778E-03,381
42670.6694513889,74526,3.8,2,408,.0022,446
42670.6694953704,74564,1.3,2,409,1.227778E-03,328
42670.6695104167,74577,1.3,2,410,1.227778E-03,451
42670.669525463,74590,1.5,2,411,1.305556E-03,352
42670.6695428241,74605,1.5,2,412,1.305556E-03,343
42670.6695601852,74620,50.3,1,412,1.956111E-02,1370
42670.6701423611,75123,1.6,2,413,1.344444E-03,280
