"Time","DataCount (samples)","Interval (s)","ActivityCode (0=sedentary, 1= standing, 2=stepping)","CumulativeStepCount","Activity Score (MET.h)","Abs(sumDiff)"
42445.0018287037,361690,2.5,2,411,1.694444E-03,625
42445.0018576389,361715,1.3,2,412,1.227778E-03,251
42445.0018726852,361728,2.4,2,413,1.655556E-03,621
42445.001900463,361752,1.2,2,414,1.188889E-03,278
42445.0019143519,361764,1.2,2,415,1.188889E-03,303
42445.0019282407,361776,1.2,2,416,1.188889E-03,269
42445.0019421296,361788,6.6,1,416,2.566667E-03,181
42445.0020185185,361854,1.5,2,417,1.305556E-03,187
42445.0020358796,361869,1.3,2,418,1.227778E-03,228
42445.0020509259,361882,1.4,2,419,1.266667E-03,234
42445.0020671296,361896,3,2,420,1.888889E-03,308
42445.0021018519,361926,.7,2,421,9.944445E-04,199
42445.0021099537,361933,1.1,2,422,.00115,276
42445.0021226852,361944,1.2,2,423,1.188889E-03,447
42445.0021365741,361956,1.1,2,424,.00115,243
42445.0021493056,361967,1.2,2,425,1.188889E-03,513
42445.0021631944,361979,1.3,2,426,1.227778E-03,460
42445.0021782407,361992,1.3,2,427,1.227778E-03,277
42445.002193287,362005,1.5,2,428,1.305556E-03,375
42445.0022106481,362020,1.2,2,429,1.188889E-03,251
42445.002224537,362032,1.1,2,430,.00115,474
42445.0022372685,362043,.9,2,431,1.072222E-03,212
42445.0022476852,362052,1,2,432,1.111111E-03,541
42445.0022592593,362062,1.1,2,433,.00115,428
42445.0022719907,362073,1.2,2,434,1.188889E-03,432
42445.0022858796,362085,1,2,435,1.111111E-03,343
42445.0022974537,362095,1.1,2,436,.00115,319
